id,trigger,conditions,script,text,options,notes
ExerelinNGCEnableCorvusMode,NewGameOptionSelected,"$option==exerelinNGCEnableCorvusMode","NGCSetCorvusMode true
FireAll ExerelinNGCOptions",,,
ExerelinNGCDisableCorvusMode,NewGameOptionSelected,"$option==exerelinNGCDisableCorvusMode","NGCSetCorvusMode false
Nex_NGCFactionToggle processRecommendedSize
FireAll ExerelinNGCOptions",,,
,,,,,,
nex_NGCCustomScenarioMenu,NewGameOptionSelected,"$option==nex_NGCCustomScenarioMenu","Nex_NGCCustomScenario menu",,,
nex_NGCCustomScenarioSelected,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCCustomScenario_""","Nex_NGCCustomScenario select
FireAll ExerelinNGCOtherOptions",,,
,,,,,,
nex_NGCFactionSelection,ExerelinNGCStep2,,"Nex_NGCListFactions listGroups","Which faction would you like to join?",,
nex_NGCFactionsBackToGroups,NewGameOptionSelected,"$option==nex_NGCFactionsBack","Nex_NGCListFactions listGroups",,,
,,,,,,
nex_NGCListFactions1,NewGameOptionSelected,"$option==nex_NGCListFactions1","Nex_NGCListFactions listFactions 1",,,
nex_NGCListFactions2,NewGameOptionSelected,"$option==nex_NGCListFactions2","Nex_NGCListFactions listFactions 2",,,
nex_NGCListFactions3,NewGameOptionSelected,"$option==nex_NGCListFactions3","Nex_NGCListFactions listFactions 3",,,
nex_NGCListFactions4,NewGameOptionSelected,"$option==nex_NGCListFactions4","Nex_NGCListFactions listFactions 4",,,
nex_NGCListFactions5,NewGameOptionSelected,"$option==nex_NGCListFactions5","Nex_NGCListFactions listFactions 5",,,
nex_NGCListFactions6,NewGameOptionSelected,"$option==nex_NGCListFactions6","Nex_NGCListFactions listFactions 6",,,
nex_NGCListFactions7,NewGameOptionSelected,"$option==nex_NGCListFactions7","Nex_NGCListFactions listFactions 7",,,
nex_NGCListFactions8,NewGameOptionSelected,"$option==nex_NGCListFactions8","Nex_NGCListFactions listFactions 8",,,
nex_NGCListFactions9,NewGameOptionSelected,"$option==nex_NGCListFactions9","Nex_NGCListFactions listFactions 9",,,
nex_NGCListFactions10,NewGameOptionSelected,"$option==nex_NGCListFactions10","Nex_NGCListFactions listFactions 10",,,
,,,,,,
nex_NGCJoinFaction,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCJoinFaction_""","Nex_NGCSetFactionFromJoinOption
FireAll ExerelinNGCStep3",,,
,,,,,,
nex_NGCDevStart,NewGameOptionSelected,"$option == nex_NGCDevStart","NGCSetPlayerFaction ""player""
NGCSetFreeStart true
NGCSetWithTimePass false
NGCAddShipAndComplement ""medusa_Starting""
NGCAddCredits 1000000
NGCAddCharacterPoints 100
NGCDone",,,
nex_NGCDevStartFast,NewGameOptionSelected,"$option == nex_NGCDevStartFast","NGCSetPlayerFaction ""player""
NGCSetFreeStart true
NGCSetWithTimePass false
NGCAddShipAndComplement ""medusa_Starting""
NGCAddCredits 1000000
NGCAddCharacterPoints 100
NGCDone",,,
nex_NGCRandomFaction,NewGameOptionSelected,"$option == nex_NGCJoinRandomFaction","NGCSetPlayerFaction ""random""
$factionGroup = 0
FireAll ExerelinNGCStep3",,,
nex_NGCOwnFaction,NewGameOptionSelected,"$option == nex_NGCJoinOwnFaction","NGCSetPlayerFaction ""player""
NGCSetFreeStart false
$factionGroup = 0
FireAll ExerelinNGCStep3",,,
nex_NGCFreeStart,NewGameOptionSelected,"$option == nex_NGCFreeStart","NGCSetPlayerFaction ""player""
NGCSetFreeStart true
$factionGroup = 0
FireAll ExerelinNGCStep3",,,
nex_NGCCustomStart,NewGameOptionSelected,"$option == nex_NGCCustomStart","Nex_NGCCustomStart menu",,"1:nex_NGCDone:Done",
nex_NGCCustomStartByTrigger,Nex_NGCCustomStartMenu,,"Nex_NGCCustomStart menu",,,
,,,,,,
nex_NGCPickStartingShips,ExerelinNGCStep3,,"Nex_NGCStartFleetOptionsV2",,,
nex_NGCStartShipsSolo,NewGameOptionSelected,"$option == nex_NGCFleetSolo","NGCAddStartingShipsByFleetType SOLO
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsCombatSmall,NewGameOptionSelected,"$option == nex_NGCFleetCombatSmall","NGCAddStartingShipsByFleetType COMBAT_SMALL
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsTradeSmall,NewGameOptionSelected,"$option == nex_NGCFleetTradeSmall","NGCAddStartingShipsByFleetType TRADE_SMALL
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsExplorerSmall,NewGameOptionSelected,"$option == nex_NGCFleetExplorerSmall","NGCAddStartingShipsByFleetType EXPLORER_SMALL
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsCarrierSmall,NewGameOptionSelected,"$option == nex_NGCFleetCarrierSmall","NGCAddStartingShipsByFleetType CARRIER_SMALL
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsCombatLarge,NewGameOptionSelected,"$option == nex_NGCFleetCombatLarge","NGCAddStartingShipsByFleetType COMBAT_LARGE
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsTradeLarge,NewGameOptionSelected,"$option == nex_NGCFleetTradeLarge","NGCAddStartingShipsByFleetType TRADE_LARGE
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsExplorerLarge,NewGameOptionSelected,"$option == nex_NGCFleetExplorerLarge","NGCAddStartingShipsByFleetType EXPLORER_LARGE
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsCarrierLarge,NewGameOptionSelected,"$option == nex_NGCFleetCarrierLarge","NGCAddStartingShipsByFleetType CARRIER_LARGE
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsSuper,NewGameOptionSelected,"$option == nex_NGCFleetSuper","NGCAddStartingShipsByFleetType SUPER
FireBest ExerelinNGCStep4",,,
nex_NGCStartShipsGrandFleet,NewGameOptionSelected,"$option == nex_NGCFleetGrandFleet","NGCAddStartingShipsByFleetType GRAND_FLEET
FireBest ExerelinNGCStep4",,,
,,,,,,
nex_NGCStartShipsBack,NewGameOptionSelected,"$option == nex_NGCFleetBack","Nex_VisualCustomPanel clear
Nex_NGCListFactions listFactions $factionGroup",,,
nex_NGCStartShipsBackToCustomStart,NewGameOptionSelected,"$option == nex_NGCFleetBack
$nex_customStart != null","Nex_VisualCustomPanel clear
Nex_NGCCustomStart unset
Nex_NGCCustomStart menu",,,
,,,,,,
nex_NGCCustomStartSelection,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCCustomStart_""","Nex_NGCCustomStart select",,,
,,,,,,
nex_NGCFinalize,ExerelinNGCStep4,,"AddText ""Starting experience and assets?""
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartEnsign:Ensign (20,000 credits, level 1)
nex_NGCStartLieutenant:Lieutenant (75,000 credits, level 3, one officer)
nex_NGCStartCommander:Commander (250,000 credits, level 6, two officers)
nex_NGCCustomResourcesStart:Custom...",
nex_NGCFinalizeSuper,ExerelinNGCStep4,"$option == nex_NGCFleetSuper","AddText ""Starting experience and assets?""
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartAgent:Agent (20,000 credits, level 1)
nex_NGCStartSpecialAgent:Special Agent (75,000 credits, level 3)
nex_NGCCustomResourcesStart:Custom...",
nex_NGCStep4Reroll,NewGameOptionSelected,"$option == nex_NGCStep4FleetReroll","NGCClearStartingGear
Nex_NGCStartResources reroll
NGCAddStartingShipsByFleetType $nex_lastSelectedFleetType
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartEnsign:Ensign (20,000 credits, level 1)
nex_NGCStartLieutenant:Lieutenant (75,000 credits, level 3, one officer)
nex_NGCStartCommander:Commander (250,000 credits, level 6, two officers)
nex_NGCCustomResourcesStart:Custom...",
nex_NGCStep4RerollSuper,NewGameOptionSelected,"$option == nex_NGCStep4FleetReroll
$nex_lastSelectedFleetType == SUPER","NGCClearStartingGear
Nex_NGCStartResources reroll
NGCAddStartingShipsByFleetType $nex_lastSelectedFleetType
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartAgent:Agent (20,000 credits, level 1)
nex_NGCStartSpecialAgent:Special Agent (75,000 credits, level 3)
nex_NGCCustomResourcesStart:Custom...",
,,,,,,
nex_NGCNormalStart,NewGameOptionSelected,"$option == nex_NGCStartEnsign","NGCAddCredits 20000
NGCAddCharacterPoints 1
NGCSetNumStartingOfficers 0
SetShortcut nex_NGCDone RETURN",,"1:nex_NGCDone:Done",
nex_NGCStartLieutenant,NewGameOptionSelected,"$option == nex_NGCStartLieutenant","NGCAddCredits 75000
NGCAddCharacterPoints 1
Nex_NGCAddLevel 3
NGCSetNumStartingOfficers 1
SetShortcut nex_NGCDone RETURN",,"1:nex_NGCDone:Done",
nex_NGCStartCommander,NewGameOptionSelected,"$option == nex_NGCStartCommander","NGCAddCredits 250000
NGCAddCharacterPoints 1
Nex_NGCAddLevel 6
NGCSetNumStartingOfficers 2
SetShortcut nex_NGCDone RETURN",,"1:nex_NGCDone:Done",
nex_NGCStartAgent,NewGameOptionSelected,"$option == nex_NGCStartAgent","NGCAddCredits 20000
NGCAddCharacterPoints 1
NGCSetNumStartingOfficers 0
SetShortcut nex_NGCDone RETURN",,"1:nex_NGCDone:Done",
nex_NGCStartSpecialAgent,NewGameOptionSelected,"$option == nex_NGCStartSpecialAgent","NGCAddCredits 75000
NGCAddCharacterPoints 1
Nex_NGCAddLevel 3
NGCSetNumStartingOfficers 0
SetShortcut nex_NGCDone RETURN",,"1:nex_NGCDone:Done",
nex_NGCStartCustomResources,NewGameOptionSelected,"$option == nex_NGCCustomResourcesStart","Nex_NGCStartResources save
NGCAddCharacterPoints 1
SetShortcut nex_NGCDone RETURN",,,
nex_NGCStartBack,NewGameOptionSelected,"$option == nex_NGCStartBack","NGCClearStartingGear
unset $nex_lastSelectedFleetType
FireAll ExerelinNGCStep3",,,
nex_NGCStartBackToCustomStart,NewGameOptionSelected,"$option == nex_NGCStartBack
$nex_customStart != null
Nex_IsNull $nex_lastSelectedFleetType","NGCClearStartingGear
Nex_NGCCustomStart unset
FireBest Nex_NGCCustomStartMenu",,,
nex_NGCDoneOption,NewGameOptionSelected,"$option == nex_NGCDone","Nex_NGCFinalize
NGCDone",,,
"#END NGC options",,,,,,
,,,,,,
# Market special options,,,,,,
ExerelinMarketAddOptionSpecial,PopulateOptions,"$menuState == main","SetShortcut exerelinMarketSpecial ""S"" true",,"21:exerelinMarketSpecial:Special functions",
ExerelinMarketSpecialOptions,DialogOptionSelected,"$option == exerelinMarketSpecial","$menuState = exerelinSpecial
FireAll ExerelinMarketSpecialInitialize
FireAll ExerelinMarketSpecial",,,
ExerelinMarketSpecialBackOption,ExerelinMarketSpecial,,"SetShortcut exerelinMarketSpecialBack ESCAPE",,"25:exerelinMarketSpecialBack:Back",
ExerelinMarketSpecialBack,DialogOptionSelected,"$option == exerelinMarketSpecialBack","ExerelinShowDefaultVisual
$menuState = main 0
FireAll PopulateOptions",,,
"#END Market special options",,,,,,
,,,,,,
# Military options override + additions,,,,,,
marketHostileSel,DialogOptionSelected,"$option == marketConsiderHostile","Nex_MarketCMD showDefenses",,,
marketHostileGoBackSel,DialogOptionSelected,"$option == mktGoBack","Nex_MarketCMD cleanupResponder
ShowDefaultVisual
FireAll PopulateOptions",,,
marketHostileEngageSel,DialogOptionSelected,"$option == mktEngage","Nex_MarketCMD engage",,,
marketHostileRaidSel,DialogOptionSelected,"$option == mktRaid","Nex_MarketCMD raidMenu",,,
marketHostileRaidNonMarket,DialogOptionSelected,"$option == mktRaidNonMarket","Nex_MarketCMD raidNonMarket",,,"$option == mktRaidNonMarket"
marketHostileRaidGoBackSel,DialogOptionSelected,"$option == mktRaidGoBack","Nex_MarketCMD goBackToDefenses",,,
marketHostileRaidRareSel,DialogOptionSelected,"$option == mktRaidRare","Nex_MarketCMD raidRare",,,
marketHostileRaidValuableSel,DialogOptionSelected,"$option == mktRaidValuable","Nex_MarketCMD raidValuable",,,
marketHostileRaidDisruptSel,DialogOptionSelected,"$option == mktRaidDisrupt","Nex_MarketCMD raidDisrupt",,,
marketHostileRaidConfirmSel,DialogOptionSelected,"$option == mktRaidConfirm","Nex_MarketCMD raidConfirm",,,
marketHostileRaidConfirmContSel,DialogOptionSelected,"$option == mktRaidConfirmContinue","Nex_MarketCMD raidConfirmContinue",,,
marketHostileRaidNeverMindSel,DialogOptionSelected,"$option == mktRaidNeverMind","Nex_MarketCMD raidNeverMind",,,
marketHostileRaidResultSel,DialogOptionSelected,"$option == mktRaidResult","Nex_MarketCMD raidResult",,,
marketHostileRaidPostRaidDefault,PostGroundRaid,,"Nex_MarketCMD addContinueToRaidResultOption",,,
,,,,,,
,,,,,,
marketHostileBombardSel,DialogOptionSelected,"$option == mktBombard","Nex_MarketCMD bombardMenu",,,
marketHostileBombardGoBackSel,DialogOptionSelected,"$option == mktBombardGoBack","Nex_MarketCMD goBackToDefenses",,,
marketHostileBombardTacticalSel,DialogOptionSelected,"$option == mktBombardTactical","Nex_MarketCMD bombardTactical",,,
marketHostileBombardSaturationSel,DialogOptionSelected,"$option == mktBombardSaturation","Nex_MarketCMD bombardSaturation",,,
marketHostileBombardConfirmSel,DialogOptionSelected,"$option == mktBombardConfirm","Nex_MarketCMD bombardConfirm",,,
marketHostileBombardNeverMindSel,DialogOptionSelected,"$option == mktBombardNeverMind","Nex_MarketCMD bombardNeverMind",,,
marketHostileBombardResultSel,DialogOptionSelected,"$option == mktBombardResult","Nex_MarketCMD bombardResult",,,
,,,,,,
nex_marketHostileInvadeSel,DialogOptionSelected,"$option == nex_mktInvade","Nex_MarketCMD invadeMenu",,,
nex_marketHostileInvadeGoBackSel,DialogOptionSelected,"$option == nex_mktInvadeGoBack","Nex_MarketCMD goBackToDefenses",,,
nex_marketHostileInvadeConfirmSel,DialogOptionSelected,"$option == nex_mktInvadeConfirm","Nex_MarketCMD invadeConfirm",,,
nex_marketHostileInvadeContinue,DISABLED_DialogOptionSelected,"$option == nex_mktInvadeContinue","ShowDefaultVisual
FireBest PopulateOptions",,,
nex_marketHostileInvadeAbortSel,DialogOptionSelected,"$option == nex_mktInvadeAbort","Nex_MarketCMD invadeAbort",,,
nex_marketHostileInvadeResultSel,DialogOptionSelected,"$option == nex_mktInvadeResult","Nex_MarketCMD invadeResult",,,
nex_marketHostileInvadeResultAndradaSel,DialogOptionSelected,"$option == nex_mktInvadeResultAndrada","Nex_MarketCMD invadeResultAndrada",,,
"#END Military options override + additions",,,,,,
,,,,,,
# Market directory options,,,,,,
nex_factionDirectoryOption,ExerelinMarketSpecial,,"SetShortcut nex_factionDirectoryMain D",,"7:nex_factionDirectoryMain:Faction directory",
nex_factionDirectory,DialogOptionSelected,"$option == nex_factionDirectoryMain","FireAll ExerelinFactionDirectory",,,
nex_factionDirectoryByTrigger,ExerelinFactionDirectory,,"Nex_FactionDirectory listGroups","Which faction do you want to look up?",,
,,,,,,
nex_factionDirectoryList1,DialogOptionSelected,"$option == nex_factionDirectoryList1","Nex_FactionDirectory listFactions 1",,,
nex_factionDirectoryList2,DialogOptionSelected,"$option == nex_factionDirectoryList2","Nex_FactionDirectory listFactions 2",,,
nex_factionDirectoryList3,DialogOptionSelected,"$option == nex_factionDirectoryList3","Nex_FactionDirectory listFactions 3",,,
nex_factionDirectoryList4,DialogOptionSelected,"$option == nex_factionDirectoryList4","Nex_FactionDirectory listFactions 4",,,
nex_factionDirectoryList5,DialogOptionSelected,"$option == nex_factionDirectoryList5","Nex_FactionDirectory listFactions 5",,,
nex_factionDirectoryList6,DialogOptionSelected,"$option == nex_factionDirectoryList6","Nex_FactionDirectory listFactions 6",,,
nex_factionDirectoryList7,DialogOptionSelected,"$option == nex_factionDirectoryList7","Nex_FactionDirectory listFactions 7",,,
nex_factionDirectoryList8,DialogOptionSelected,"$option == nex_factionDirectoryList8","Nex_FactionDirectory listFactions 8",,,
nex_factionDirectoryList9,DialogOptionSelected,"$option == nex_factionDirectoryList9","Nex_FactionDirectory listFactions 9",,,
nex_factionDirectoryList10,DialogOptionSelected,"$option == nex_factionDirectoryList10","Nex_FactionDirectory listFactions 10",,,
,,,,,,
nex_factionDirectoryPrint,DialogOptionSelected,"Nex_OptionStartsWith ""nex_printFactionMarkets_""","Nex_FactionDirectory print",,,
"#END Market directory options",,,,,,
,,,,,,
# Prisoner options,,,,,,
ExerelinMarketPrisonerOption,ExerelinMarketSpecial,"$hasMarket
$faction.id != ""neutral""","SetEnabled exerelinUsePrisoner true
SetShortcut exerelinUsePrisoner P",,"4:exerelinUsePrisoner:Prisoner actions",
ExerelinMarketPrisonerOptionNoPrisoners,ExerelinMarketSpecial,"$hasMarket
$faction.id != ""neutral""
!HasItem prisoner score:10","SetTooltip exerelinUsePrisoner ""You have no prisoners!""
SetEnabled exerelinUsePrisoner false",,,
ExerelinMarketPrisonerOptionNotAllowed,ExerelinMarketSpecial,"$hasMarket
$faction.id != ""neutral""
!FactionAllowPrisonerActions  $faction.id score:20","SetTooltip exerelinUsePrisoner ""$TheFaction have no use for prisoners.""
SetEnabled exerelinUsePrisoner false",,,
nex_marketPrisonerOptionRecentlyInvaded,ExerelinMarketSpecial,"$hasMarket
$faction.nex_recentlyInvaded score:20","Nex_PrisonerAction getCooldown
SetTooltip exerelinUsePrisoner ""$TheFaction is not currently accepting prisoners due to your recent invasions of their territory. This will last for $nex_recentInvasionCooldown.""
SetTooltipHighlightColors exerelinUsePrisoner hColor
SetTooltipHighlights exerelinUsePrisoner $nex_recentInvasionCooldown
SetEnabled exerelinUsePrisoner false",,,
ExerelinPrisonerOptionListMain,DialogOptionSelected,"$option == exerelinUsePrisoner","$menuState = prisoner 0
GetNumSpecialPeople
ShowVisual ""graphics/illustrations/pirate_station.jpg""
FireAll ExerelinPrisonerOption",,,
ExerelinPrisonerOptionNumPrisoners,ExerelinPrisonerOption,,"SetTextHighlights $numPrisoners","You have $numPrisoners prisoner(s).",,
ExerelinPrisonerOptionListRepatriate,ExerelinPrisonerOption,"$faction.id != ""player""","SetTooltip exerelinPrisonerRepatriate ""Release a prisoner for a reputation boost with $theFaction.""
SetShortcut exerelinPrisonerRepatriate P",,"exerelinPrisonerRepatriate:Repatriate prisoner",
ExerelinPrisonerOptionListRepatriateMaxRep,ExerelinPrisonerOption,"$faction.id != ""player""
Nex_PrisonerAction isAtMaxRep","SetTooltip exerelinPrisonerRepatriate ""Your reputation with $theFaction is already at the maximum level.""
SetEnabled exerelinPrisonerRepatriate false",,,
ExerelinPrisonerOptionListRansomBase,ExerelinPrisonerOption,,,,"exerelinPrisonerRansom:Collect ransom",
ExerelinPrisonerOptionListRansom,ExerelinPrisonerOption,,"Nex_PrisonerAction getValue
SetTooltip exerelinPrisonerRansom ""Return a prisoner in exchange for a ransom of $ransomValue credits.""
SetTooltipHighlightColors exerelinPrisonerRansom buttonShortcut 
SetTooltipHighlights exerelinPrisonerRansom $ransomValue
SetEnabled exerelinPrisonerRansom true
SetShortcut exerelinPrisonerRansom R",,,
ExerelinPrisonerOptionListRansomHostile,ExerelinPrisonerOption,"RepIsAtBest $faction.id HOSTILE
!IsPirateFaction $faction.id
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market","SetTooltip exerelinPrisonerRansom ""$TheFactionLong are $relAdjective to you and refuse to consider any ransom payment.""
SetEnabled exerelinPrisonerRansom false",,,
ExerelinPrisonerOptionListRansomHostileCanDisableTransponder,ExerelinPrisonerOption,"RepIsAtBest $faction.id HOSTILE
!IsPirateFaction $faction.id
$player.transponderOn","SetTooltip exerelinPrisonerRansom ""$TheFactionLong are $relAdjective to you and refuse to consider any ransom payment. Coming in with your transponder off might allow an under-the-table deal.""
SetEnabled exerelinPrisonerRansom false",,,
#ExerelinPrisonerOptionListRansomPirates,ExerelinPrisonerOption,"IsPirateFaction $faction.id","SetTooltip exerelinPrisonerRansom ""Pirates do not pay ransom.""
SetEnabled exerelinPrisonerRansom false",,,
